Dataset,Model,Model ID,Split,Evaluation samples,Method,Failure AUROC,Failure AUPRC,Mean uncertainty,Source JSON,Accepted samples @10%,Accepted ROUGE-L @10%,Accepted METEOR @10%,Accepted failure rate @10%,Accepted samples @30%,Accepted ROUGE-L @30%,Accepted METEOR @30%,Accepted failure rate @30%,Accepted samples @50%,Accepted ROUGE-L @50%,Accepted METEOR @50%,Accepted failure rate @50%,Accepted samples @70%,Accepted ROUGE-L @70%,Accepted METEOR @70%,Accepted failure rate @70%,Accepted samples @90%,Accepted ROUGE-L @90%,Accepted METEOR @90%,Accepted failure rate @90%
ProstateMM-CHIMERA,llava_1_5_7b,llava-hf/llava-1.5-7b-hf,test,42,Answer disagreement,0.3102,0.3876,0.1069,outputs_prostatemm_llava_1_5_7b_llava_hf_llava_1_5_7b_hf_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.0593,0.0325,0.8,13,0.1198,0.0982,0.5385,21,0.09,0.0817,0.6667,30,0.1328,0.1293,0.5,38,0.1595,0.1435,0.4211
ProstateMM-CHIMERA,llava_1_5_7b,llava-hf/llava-1.5-7b-hf,test,42,AFD frequency,0.1111,0.3317,0.5238,outputs_prostatemm_llava_1_5_7b_llava_hf_llava_1_5_7b_hf_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.0,0.0,1.0,13,0.0,0.0,1.0,21,0.074,0.0564,0.7619,30,0.1265,0.1077,0.5333,38,0.1552,0.1337,0.4474
ProstateMM-CHIMERA,medgemma_4b_it,google/medgemma-4b-it,test,42,Question-aligned entropy,0.9388,0.8959,0.2635,outputs_prostatemm_medgemma_4b_it_google_medgemma_4b_it_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.5091,0.4102,0.0,13,0.4545,0.3672,0.0,21,0.3939,0.28,0.0,30,0.3091,0.2164,0.2,38,0.2751,0.1854,0.2632
ProstateMM-CHIMERA,medgemma_4b_it,google/medgemma-4b-it,test,42,Answer disagreement,0.5102,0.6154,0.0369,outputs_prostatemm_medgemma_4b_it_google_medgemma_4b_it_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.0909,0.0628,0.8,13,0.1678,0.0862,0.4615,21,0.2121,0.1263,0.381,30,0.2848,0.2002,0.2667,38,0.2751,0.1854,0.2632
ProstateMM-CHIMERA,medgemma_4b_it,google/medgemma-4b-it,test,42,Semantic AFD,0.6645,0.5,0.0794,outputs_prostatemm_medgemma_4b_it_google_medgemma_4b_it_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.3818,0.2548,0.0,13,0.3497,0.2345,0.0769,21,0.3117,0.2099,0.1905,30,0.297,0.2059,0.2333,38,0.2584,0.1775,0.3158
ProstateMM-CHIMERA,medgemma_4b_it,google/medgemma-4b-it,test,42,Random baseline,0.648,0.4555,0.4631,outputs_prostatemm_medgemma_4b_it_google_medgemma_4b_it_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.3636,0.2374,0.0,13,0.3217,0.2236,0.1538,21,0.2771,0.1911,0.2857,30,0.2667,0.1821,0.3,38,0.256,0.1738,0.3158
ProstateMM-CHIMERA,medgemma_4b_it,google/medgemma-4b-it,test,42,AFD frequency,0.4107,0.2998,0.2222,outputs_prostatemm_medgemma_4b_it_google_medgemma_4b_it_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.2727,0.148,0.2,13,0.2448,0.1443,0.3077,21,0.2035,0.1135,0.381,30,0.2121,0.1344,0.4,38,0.2297,0.1499,0.3684
ProstateMM-CHIMERA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test,42,Question-aligned entropy,0.8169,0.8759,0.246,outputs_prostatemm_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.4988,0.5805,0.0,13,0.3492,0.3886,0.3077,21,0.277,0.3035,0.381,30,0.2672,0.2907,0.4,38,0.229,0.2484,0.5
ProstateMM-CHIMERA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test,42,Semantic AFD,0.627,0.6378,0.246,outputs_prostatemm_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.3998,0.4615,0.2,13,0.3071,0.3489,0.3846,21,0.2572,0.2916,0.4286,30,0.2342,0.2572,0.4667,38,0.223,0.2438,0.5
ProstateMM-CHIMERA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test,42,Random baseline,0.595,0.617,0.4631,outputs_prostatemm_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.3603,0.4033,0.2,13,0.2507,0.2858,0.3846,21,0.2157,0.2419,0.5238,30,0.2139,0.2344,0.5333,38,0.2122,0.2306,0.5526
ProstateMM-CHIMERA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test,42,Answer disagreement,0.4096,0.5282,0.0926,outputs_prostatemm_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.0,0.0,1.0,13,0.3071,0.3489,0.3846,21,0.2009,0.2243,0.619,30,0.1666,0.1854,0.6333,38,0.2001,0.2171,0.5789
ProstateMM-CHIMERA,qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,test,42,AFD frequency,0.2174,0.4382,0.5238,outputs_prostatemm_qwen2_5_vl_3b_Qwen_Qwen2_5_VL_3B_Instruct_test_N42_K3_prostamm_chimera_zero_shot_v1.json,5,0.0,0.0,1.0,13,0.0,0.0,1.0,21,0.1088,0.1266,0.7619,30,0.1625,0.1804,0.6333,38,0.1979,0.212,0.5789
